0,67,605,493,35,605,496,630,552,69
67,0,630,502,34,612,515,633,567,42
605,630,0,612,614,350,465,363,479,620
493,502,612,0,492,562,577,601,581,486
35,34,614,492,0,606,515,631,557,44
605,612,350,562,606,0,443,355,463,602
496,515,465,577,515,443,0,512,408,505
630,633,363,601,631,355,512,0,434,617
552,567,479,581,557,463,408,434,0,555
69,42,620,486,44,602,505,617,555,0
---
0,67,605,493,35,605,569,630,552,69
67,0,630,502,34,612,588,633,567,42
605,630,0,612,614,350,306,363,479,620
493,502,612,0,492,562,542,601,581,486
35,34,614,492,0,606,576,631,557,44
605,612,350,562,606,0,146,355,463,602
569,588,306,542,576,146,0,291,431,580
630,633,363,601,631,355,291,0,434,617
552,567,479,581,557,463,431,434,0,555
69,42,620,486,44,602,580,617,555,0
---
0,67,587,493,35,612,569,630,584,69
67,0,602,502,34,633,588,633,601,42
587,602,0,618,586,653,570,679,101,582
493,502,618,0,492,609,542,601,599,486
35,34,586,492,0,617,576,631,585,44
612,633,653,609,617,0,323,378,638,623
569,588,570,542,576,323,0,291,565,580
630,633,679,601,631,378,291,0,664,617
584,601,101,599,585,638,565,664,0,583
69,42,582,486,44,623,580,617,583,0
---
0,67,587,493,35,471,569,630,584,69
67,0,602,502,34,498,588,633,601,42
587,602,0,618,586,606,570,679,101,582
493,502,618,0,492,138,542,601,599,486
35,34,586,492,0,488,576,631,585,44
471,498,606,138,488,0,536,597,593,484
569,588,570,542,576,536,0,291,565,580
630,633,679,601,631,597,291,0,664,617
584,601,101,599,585,593,565,664,0,583
69,42,582,486,44,484,580,617,583,0
---
0,605,604,608,588,607,589,609,132,590
605,0,103,15,475,10,532,520,591,531
604,103,0,110,504,111,467,469,588,466
608,15,110,0,472,25,535,523,590,534
588,475,504,472,0,479,577,565,584,576
607,10,111,25,479,0,536,516,593,535
589,532,467,535,577,536,0,80,565,1
609,520,469,523,565,516,80,0,579,79
132,591,588,590,584,593,565,579,0,566
590,531,466,534,576,535,1,79,566,0
---
0,15,110,0,507,25,518,523,590,534
15,0,103,15,504,10,511,520,591,531
110,103,0,110,453,111,464,469,588,466
0,15,110,0,507,25,518,523,590,534
507,504,453,507,0,500,57,18,573,91
25,10,111,25,500,0,507,516,593,535
518,511,464,518,57,507,0,75,526,130
523,520,469,523,18,516,75,0,579,79
590,591,588,590,573,593,526,579,0,566
534,531,466,534,91,535,130,79,566,0
---
0,8,5,36,454,19,465,434,458,117
8,0,13,40,458,23,469,438,462,121
5,13,0,35,453,18,464,433,457,116
36,40,35,0,464,29,475,444,468,139
454,458,453,464,0,453,57,64,56,511
19,23,18,29,453,0,464,433,457,122
465,469,464,475,57,464,0,69,7,522
434,438,433,444,64,433,69,0,62,495
458,462,457,468,56,457,7,62,0,515
117,121,116,139,511,122,522,495,515,0
---
0,47,15,467,465,458,14,63,7,50
